,sentence,topic
4075,"Az oldalon töltött idő majdnem három perc, ami szintén kiemelkedő.",other
6515,"Hogy megjöjjön a kedvetek, olvassatok bele a játékról írt tesztünkbe!",other
7477,"Mark Cousins: Mindig ijesztő látni ezeket a nagy vetítéseket, mert az ember tudja, hogy rengeteg filmkritikus van a teremben.",other
5261,Ellátogattunk egy forgalmas belvárosi dohányboltba is.,other
1603,"A legnagyobb importőr az unión belül Szlovákia volt az első félévben, több mint 2 milliárd dolláros értékkel, ennek kicsit több mint felét az olaj adta.",economy
5889,Ez pedig tisztességtelen kereskedelmi gyakorlat.,economy
7169,"Köszönjük, hogy megsértettetek bennünket és mindennek elmondtatok!",other
9527,"Továbbá vizsgálják ki a 4iG finanszírozását, mert annak terjeszkedését, így állami cégek felvásárlását állami forrásból biztosítják.",economy
7150,"Könnyűzenei Intézet szabadon választható kurzusainak szemeszterzáró gálakoncertjére várják az érdeklődőket december 17-én, vasárnap 19 órakor a Debreceni Egyetem Zeneművészeti Karának Liszt termében.",music
1831,"A megsérült vezeték közel 70 éves, és ennek okán is, minden egyes útfelújítás alkalmával szükséges, hogy hozzájáruljunk a munkálatokhoz, hiszen kockázatos lehet bármilyen rekonstrukció – fogalmazott.",trafic
8827,"Rájöttem, hogy soha nem beszélek magammal szépen.",other
7389,"Magyarország egyelőre távol áll attól, hogy önellátóvá váljon az energetika terén, hiszen jelenleg az energiaszükséglet 59 százaléka származik importból.",economy
3982,"Az Ipolyon újabb árhullám indult meg, a tetőzés Nógrádszakálnál kevéssel elsőfok alatt kedd délután, Ipolytölgyesnél szerdán a délelőtti órákban másodfok környékén valószínű.",other
1572,A legérdekesebb összefüggést a közúthálózat kiterjedése és a levegő havonkénti átlagos szálló portartalma között találták az SZTE Földrajzi és Földtudományi Intézetének kutatói.,trafic
961,A home office nem okoz keresletgyengeséget az irodapiacon?,economy
1342,A kora újkorban a vadászat még egyenesen a háború megfelelőjének számított.,other
7634,"Megtiltották, hogy csecsemőit szoptassa, hogy a nagyobb gyerekekkel kergetőzzön.",other
38,"A 2023 és 2026 közötti, hazai költségvetésből fenntartott programot az ez évi 65-ös sürgősségi kormányhatározattal fogadta el a kormány.",politics
9100,"Szakértők szerint összességében nagyon fontos lenne a megelőzés: szabadidős tevékenységek teremtése fiataloknak, megfelelő platformok létrehozása a zenében, a sportban, a kultúra egyéb területein, valamint szakemberek delegálása az iskolákba.",other
20,"A 2000-es évek elején aztán idehaza is nagyon menővé vált a BMX-ezés, sokan vásároltak bringákat, próbálgatták a trükköket.",sport
1867,"Amerikai elemzők szerint a kínai élelmiszerhiány pótlása a nemzetközi kereskedelemre nem bízható, annak megoldása hosszabb távon mintegy 4 millió hektár termőföld pótlólagos - tehát országon kívüli - bevonásával lenne lehetséges.",economy
7127,Kivételt képeznek a nemzetgazdasági szempontból kiemelt jelentőségű beruházás megvalósítására szolgáló ipari területek.,economy
3024,"A történelmi személyiségek megítélése nem érzelmi alapon, hanem tényeken alapul” – nyilatkozta lapunk megkeresésére dr. vitéz Székely Zsolt.",politics
5069,"Egy hetvenes éveiben járó nagymamának öltöztem be, aki az egyik közösségi oldalon próbálta megtalálni álmai férfiját.",other
2945,"A temetkezési vállalkozó feljelentést tett a nő ellen, aki egy halott csecsemőt ütlegelt.",other
2507,"A részvénypiac forgalma 10,6 milliárd forint volt, a vezető részvények ára vegyesen változott az előző napi záráshoz képest.",economy
6197,Gulyás Gergely Márki-Zay amerikai milliárdjairól: nyilvánvaló külföldi befolyásszerzés és korrupció!,politics
6771,Ismét emelkedik a szennyvízben a koronavírus örökítőanyagának koncentrációja.,other
5451,Ennek több mint a fele a Libri boltjaiból és webshopjaiból származik.,economy
4811,De hogy néz ki közelebbről a NASA segítségével készült különös szerkezet?,technology
1505,"A kutató arra is kitér, hogy a személyes, kárpátaljai kapcsolatok révén még inkább fennáll annak a lehetősége, hogy valaki bevonódjon a háborús történésekbe lelkileg.",politics
4277,Azt írják honlapjukon: „Van még néhány hely.,other
2160,A nem mindennapi ajánlatot a szúrta ki.,other
1595,A legkülönfélébb témákban hozott határozatokat a képviselő-testület az idei utolsó tanácskozásán.,politics
9849,"Vecsei H. Miklós és Nagy Katica is arról beszélt, hogy már a szerepre való kiválasztásuk folyamata is pozitív élmény volt, találkozások és beszélgetések közepette zajlott.",other
6656,"Igaz, ilyen eddig még soha nem fordult elő - áll a tájékoztatóban.",other
3320,"Az Airbus SE repülőgépipari vállalat adózott eredménye 6 százalékkal, 1,679 milliárd euróra nőtt a tavalyi utolsó negyedévben.",economy
5354,"Emellett az elemzők 12,8 milliárd forintos hiányt (a GDP 7,5%-a) várnak a tavalyi évre a folyó fizetési mérlegre vonatkozóan, ami idén 5,8 milliárd forintra (a GDP 2,9%-a) javulhat.",economy
5039,"Egyesek szerint viszont egy telefonnal el lehetett volna intézni, hogy olyan erdőbe kerüljön a 60 milliós csodaösvény, ahol a tarvágás nem fenyeget évtizedekig sem akár.",technology
6786,Itt érdemes már hosszabb időre megállni.,other
2154,"A németországi küldetés befejezése után a nürnbergi ügyész visszatért Amerikába, ügyvédi magánpraxisba vágott, de nem bírta sokáig, a közügyek visszaszólították.",politics
5257,"Elkészültének első határidejét 2026. december 31-ben állapították meg, ezt tavaly 2030-ra módosították.",economy
3844,"Az Európai Parlament csak véleményezheti a jelölését, ennek első lépése volt szerdai bizottsági meghallgatása, illetve a szavazás.",politics
5421,"Ennek ellenére belső vizsgálat, vagy szembenézés nem történt Brüsszelben - emelte ki.",politics
7448,"Ma pontosan egy éve, hogy elkezdődött az oroszok Ukrajna ellen indított véres háborúja.",politics
5509,"Erős vegyszereket alkalmazzunk, valamint minden használat után a csapokat és kagylókat.",other
2077,"A nagyböjti időszak ünnepi eseményeinek sorában március 26-án, a vasárnapi szentmisében szolgáltatja ki a városi római katolikus plébánia a betegek szentségét a jelentkezőknek – jelentkezni és érdeklődni a plébánián lehet.",other
4753,Curtis is az alkotók között van.,music
9871,"Végül, ha több ütemben is, és igencsak elhúzó kivitelezéssel, de sikerült az uniótól és a magyar költségvetésből valamivel több, mint 116 millió forintot lehívni a totálisan képtelen ötlet megvalósításához.",politics
6736,"Imádom a könyvet, a feleségem is szereti, így otthon sok könyvünk van, viszonylag sokat is olvasunk.",other
2261,"A nyugati neokonok megint arról beszélnek, hogy védjük meg a „zsidó-keresztény civilizációt a muszlimokkal szemben”.",politics
4702,"Csak amikor robbant a botrány, általánossá vált a felháborodás, akkor lettek harsányabbak a politikusok, és állt Borboly Csaba is rögtön a tiltakozó tömegek élére.",politics
1092,"A kárpátaljai származású pedagógus korábban a határon túl nyolc évig tanított, az ott megszerzett tapasztalatát most itt is kamatoztathatja.",other
1281,"Akkor is, ha a házuk már nem áll.",other
2702,"A »szár« alapjainál porfelhő emelkedett, ami gyorsan elborította a földfelszínt.",other
3421,"Az árak csökkenését a kormányzat által június 1-jén elindított, illetve augusztus 1-jétől kibővített kötelező akciózás is támogatta.",economy
512,"A fehér pólós nyugodt marad, és a többiekkel együtt befordul az erdőbe.",other
9027,Sok modern rendszer a csevegőrobotokkal és előre megírt tudásbázisokkal megáll az automatizálásban.,technology
4989,"Egy beszélgetésben néhány napja vetettem fel, hogy rég hallottam Szegedi Erikáról.",other
1992,"Amint arról lapunk is beszámolt, két svéd futballszurkoló hétfő este a Belgium-Svédország labdarúgó meccsre tartott a brüsszeli Baldvin király stadionba, amikor egy robogóval érkező férfi géppisztollyal tüzet nyitott a taxira, amelyben utaztak.",other
3906,"Az idei évhez képest a bevételek három, a kiadások 11,2 százalékkal nőnek.",economy
1223,"Akik ezúttal is vállalták a megmérettetést, és a kollégák aktív bevonásával teljesítették az aktuális kihívásokat: Biró András – DevZone Kft., Kürti Zsolt – WG-Planmode Kft.",other
624,"A fogyasztói bizalmi index idén folyamatosan emelkedett a tavalyi mélypont után, de még így is 2020-2021-es szinteken áll.",economy
9037,"Sok vallásban és spirituális hitben egy kör képviseli az isteni életerőt vagy szellemet, amely mozgásban tartja valóságunkat.",other
9994,"Zolit az utolsó randi győzte meg igazán, amikor Betti a családjához vitte őt.",other
5182,"Egy vállalkozó barátom ötlete volt, hogy csináljuk meg az MVM Dome-ban, ami több mint tízezer ember befogadására is alkalmas.",other
2476,A rendőrök letartóztattak és vádat emeltek egy tinédzser ellen.,other
762,"A gyógyszerei azonban hatékonynak bizonyultak, ám egy ideje nem volt hajlandó azokat bevenni.",other
8686,"Pártolói a fiatal, feltörekvő, önmegvalósító női vezetők új generációjának példaképét látták benne, kritikusai viszont azt hangoztatták, hogy kormányfőhöz méltatlanul és felelőtlenül viselkedett.",politics
9968,Washington Post szerint hiteles a videó.,politics
1884,"A Metinvest Holding a világ acélpiacának fontos szereplője – az ukrán székhelyű cégcsoport jelentős bázisokat működtet a régióban is, de olasz, spanyol és holland érdekeltségei is számottevőek.",economy
6211,Gyengült a forint a főbb devizákkal szemben az előző esti jegyzéséhez képest péntek reggelre a nemzetközi devizakereskedelemben.,economy
6835,Játékban sokat léptünk előre az elmúlt héthez képest.,other
4419,Az ülések anyagából évente tanulmánykötetet szerkesztett.,other
5166,Egy társasház földszintjén elektromos kapcsolószekrények gyulladtak ki.,trafic
6408,Hát kellett ez neki?,other
8209,Naszrallah a Hezbollah vezére beszédet intézett híveihez és a világhoz a mártírok napján.,politics
9946,"Volodimir Zelenszkij csütörtökön rendkívül brüsszeli látogatásán sürgette az európai vezetőket, hogy gyorsítsák fel a fegyverszállítást, és kezdjék meg az EU-tagsági tárgyalásokat Ukrajnával idén.",politics
2130,"Andrzej Duda lengyel államfő aláírta a „lex Tusknak” nevezett törvényt, amelynek legfőbb célja az ellenzék és a Polgári Platform vezetője, Donald Tusk ellehetetlenítése az év végén esedékes parlamenti választás közeledtével.",politics
7737,Mi lesz ma a vacsora?,other
8966,"Sem bolti, sem online vásárlások esetében nincs különbség a különböző típusú kártyák használati lehetőségei között, így ezzel évente több ezer forintot lehet spórolni.",economy
8860,"Releváns alapkérdés lett szerintük tisztázva azzal, hogy a szülők kötelessége nyilatkozni arról, hogy gyermekük érintett-e fokozott kockázatú allergiával.",politics
5556,"És ez a szomorúság, amiből nem lehet kijutni, inkább költői, mint drámai.",other
1256,"A kismama minden fotón mosolyog, pedig nem állnak mögötte könnyű hónapok.",other
749,A gyanúsítottak ellen elfogatóparancsot adtak ki.,other
4249,"Aztán, amikor végre sorra került az illető, általában azt mondták, hogy ""sajnos pech, de elfogyott"".",other
2333,A platform jelentős előrelépést jelenthet a nagy intézmények közötti értékpapír-mozgatás hatékonyabbá tételében.,economy
829,"A hatóság a bíróság előtt jelezte, hogy nem ért egyet mindezzel.",politics
319,"A cikk Magyarországon is több lapban megjelent, többek között a is.",other
1966,"A minimum-hőmérsékletek 4-12, a maximumok 16-22 fok között alakulnak.",other
5915,"Ezt az első pillanatban beterjesztenénk és elfogadnánk, ami erős gesztus lenne az LMBTQ-közösség felé” – jegyezte meg.",politics
7497,Már régóta napirenden van schengeni egyezményhez való csatlakozásának kérdése.,politics
24,"A 2013-ban indult Tiszai PET Kupa szervezője, a Természetfilm.hu Tudományos Filmműhely Egyesület sok évnyi folyótakarításban szerzett rutinjával vágott bele az IPK megrendezésébe.",other
765,A Gyulát és a szegedi Tisza Volánt is magabiztosan verték Deák Tamás tanítványai.,sport
3033,A törvénytől eltérő módon rendelik ki munkavégzésre az orvosokat a Magyar Orvosi Kamarához.,politics
3852,Az Európai Tanács elnöke hamisnak és képmutatónak nevezte az egyoldalú orosz fegyvernyugvásról szóló bejelentést a Twitteren csütörtökön közzétett üzenetében.,politics
497,"A dzsungelláz olyannyira égett, hogy a túlélőshow kreatív producerével, is rengeteg embert érdekelt.",other
7170,"Köszönöm Istennek, hogy a zenei irányba dobott bennünket.",music
2051,A múlt heti csúcstalálkozót követően különösen felerősödtek a budapesti kabinettel szemben erőteljesebb brüsszeli fellépést követelő hangok.,politics
8534,"Olaszország fontos partnerünk és érdekeltek vagyunk abban, hogy kölcsönös tiszteletre építve a kapcsolatainkat fejlesszük - mondta.",politics
6029,"Felborult egy autó, egy kisgyerek megsérült2023.",trafic
5766,"Ezek szerint akkor is, ha isteni üzletről van szó.",economy
9460,"Többek között azt is kiemelték, hogy a kellő információhiány miatt van aggodalom a társadalomban, amely az átláthatósággal csökkenthető lenne.",politics
7625,"Megpróbáltunk eleget tenni azoknak, amit a szerződési feltételekben leírtak, a bíráskodás is korrekt volt, persze időnként előfodultak nézetkülönbségek az edzők és a bírók között, de ezeket elsimítottuk.",other
7211,"Közlik velük, hogy most van az adott lehetőség, még tudom tartani egy fél napig, ezt most kell csinálni.",other
94,"A Bacardi például azzal csapta ki a biztosítékot, hogy bár 2022 tavaszán több más alkoholgyártó és -forgalmazó céggel együtt azt nyilatkozta, kivonul Oroszországból, mégis maradt.",economy
6584,Hozzátette: Joe Biden amerikai elnök szintén ezt szeretné.,politics
2914,"A tavalyi év végén kinevezett energiaügyi miniszternek meggyőződése, hogy Magyarországnak sokkal beruházás-intenzívebb korszakba kell lépnie az energetikában is.",politics
4136,"Az orosz NLMK acélgyártó cég a cseh autóipar egyik legfontosabb beszállítója, amely a kelet-európai ország GDP-jének mintegy tíz százalékát adja.",economy
6057,Feltűnő az ötágú csillag a vörös pólón.,other
5566,"És itt jönnek az érdekességek: a Putyinhoz hasonlóan Leningrádban született Prigozsin 18 éves korában bűnöző lett, elítélték lopásért, csalásért és rablásért, a bűncselekményekbe ráadásul fiatalkorúakat is bevont.",politics
2977,"A tésztát átlátszó fóliába tekerjük, és hűtőszekrényben pihentetjük, amíg elkészítjük a tölteléket.",other
7951,"Mint mondta, 2016-ban – akkor még megyei – önkormányzat a bölcsődei fejlesztéseket érintő pályázatokra 1,3 milliárdos igényt mért fel a településeken, 2019-re ez a szám 4 milliárd forintra nőtt.",politics
8670,"Panzeri korábban azt vallotta, hogy 120 ezer és 140 ezer euró közötti összeget adott Tarabellának „a Katarral kapcsolatos ügyek intézésében nyújtott segítségéért”.",politics
9807,"Vannak, akik – amolyan aranyásóként – a könnyebbik utat akarják választani, saját bájaikat felajánlva, de akadnak olyanok is, akiket a munka is érdekel.",other
3221,"A videós célja, hogy felhívja a figyelmet a nehéz körülmények között élőkre.",other
1645,"A Litascót mélyen érintette a háború, mivel a bankok visszavonták hitelkereteiket, ami tátongó likviditási válságot okozott.",economy
7962,Mint mondta: élete legpokolibb ünnepe elé néz a család.,other
8222,"Negyvennégy, egyenként körülbelül tíz köbméter térfogatú hűtőtornyot tervezünk elhelyezni a gyár tetején.",technology
9357,Taylor Swift esetében körülbelül 10 órányi adatot gyűjtöttem.,music
1244,"A kisebbségi csoport azt is sérelmezi, hogy az ukrán menekülteknek az állam lakhatást, ellátást és iskolai férőhelyeket biztosít az ukrajnai háború kitörése óta.",politics
34,"A 2023-as cél, hogy az áremelkedéseket visszaszorítsuk tíz százalék alá, már teljesült, sőt lehet, hogy az év végére hét százalék alatt lesz, jövőre pedig már öt százalék körüli szintet tűzhetünk ki.",economy
6047,"Fellép többek között Vecsei H. Miklós és a QJÚB, a Muzsikás, Berecz István, Lackfi János, a Kaláka, Rátóti Zoltán, Lovasi András, a Laposa Julcsi Band, valamint az Eucharist és Mező Misi.",music
2738,"A szerelmesek egyébként New Yorkban élnek, de természetesen rengeteget utaznak, így az sem kizárt, hogy Dylan Budapestre is elkísérte Barbarát.",other
3798,"Az esküvő másik oka az volt, hogy egy olyan egészségügyi krízisbe kerültem a vesém miatt, hogy úgy tűnt, a következő hónapot sem élem meg.",other
8421,"New York Giants) 42,06 millió nézőt vonzott a csatornára, ezzel a legnézettebb szezonbéli mérkőzés volt.",sport
9493,"Több tucat, szebbnél-szebb beérkezett rajz megnehezítette a zsűri döntését, de sikerült 4 művet kiemelni.",other
4406,"Az ukrán háborúval felerősödő energiaválság még az eddiginél is nagyobb figyelmet, és ezzel együtt piaci és állami forrásokat juttatott a különböző, nem fosszilis energiatermelési megoldások kutatásába.",economy
555,A felvételeket állítólag Kim Dzsong Un is megtekintette.,politics
6806,"Ivánka Mária négyszeres sakkolimpiai ezüstérmes és Welterné Ivánkay Mária, a Nemzet Sportolója, nyolcszoros siketolimpiai bajnok.",other
5560,És ezt kell látni a sakkban.,other
7912,"Mintha személyes mulasztás, és nem rendszerszintű probléma lenne a bajok legfőbb forrása, amit gyors bűnbakkereséssel kezel a média és a politika.",politics
213,"A Blade 16 köbhüvelykenként 35 százalékkal több grafikus teljesítményt képes leadni, mint bármely más jelenleg kapható 16 hüvelykes gamer laptop.",technology
2283,"A parancsnok arra is kitért, két olyan nagyobb eseményük volt 2022-ben, amiből a kollégák rengeteget tanulhattak, fontos és hasznos tapasztalatokat szerezhettek további tevékenységükre nézve.",other
89,"A 9to5Google szerint, akit letiltunk az egyik szolgáltatásban, az a másikban is elnémul.",technology
2994,"A tiszavasvári önkormányzati és a tiszadadai önkéntes tűzoltók a műszaki mentés során áramtalanították az autót, amelyben négy ember utazott.",trafic
7214,"Közölték azt is, hogy 302 betegtől érkezett légúti minta az laboratóriumába az elmúlt héten.",other
9907,"Vig Dávidnak a balliberális sajtóban megjelent cikkei és a közösségi oldalán látható bejegyzései is egyértelműen igazolják, hogy az Amnesty politikai szerepet vállal.",politics
6589,Hozzátették: második éve működik az MCC Egyetemi Programja a Miskolci Egyetemen.,other
1566,"A legdrágább koporsó 1972-ben, úgy emlékszem, 1100 forintba került, és aki olyat vásárolt, az már nagyon gazdag embernek számított.",other
2449,A regisztrálók közül kisorsoltak egy kifejezetten erre az alkalomra fejlesztett tanpályán mérhetik össze ügyességüket.,other
7667,"Mert én nagyon szerettem ezt a mozgást, ami van, megszerettem és beleszerettem ebbe az egészbe, Még a koránkelés is fog hiányozni, de meg fogok próbálni ezentúl is korán kelni, mert nagyon jó tett ez a rendszeresség.",other
1085,Akár lejáratkori tőkegarancia mellett is a kockázatmentes hozamoknál magasabb megtérülést tudnak ezek a strukturált termékek biztosítani.,economy
5239,Elemzők szerint a kémkedés vádjával március óta orosz rácsok mögött lévő amerikai újságírót és a kiberbűnözés vádjával amerikai őrizetben lévő Vlagyimir Dunajevet érintheti a fogolycsere.,politics
150,"A befektetési alapkezelők is hasonlóképpen járhatnak el, ha más EGT-tagállamban szeretnének tevékenykedni.",economy
3072,"A tűzoltók az utasok biztonságos átkísérésében nyújtottak segítséget, miután elgázolt egy embert egy személyvonat Emődön, a Vasút utcai állomás előtt.",trafic
6294,"Hajvágásra jelentették be, én pedig meg is csináltam, amit kért.",other
1679,A magánrendelések felé veszik az irányt a magyarok.,other
4160,"Az Országos Mentőszolgálat legújabb bejegyzésében részletesen elmesélte, hogyan küzdöttek a megkéselt fiatal rendőr, Baumann Péter életéért.",other
488,"A Dunántúlon néhol gyenge eső előfordulhat, másutt csapadék nem valószínű.",other
4027,Az MCC hat évvel ezelőtt nyitotta meg kapuit a Beregszászon.,other
7685,"Mezőgazdasági, állattenyésztési és ökológiai vonzatai vannak.",economy
7325,"Lehetséges volna, hogy végül mégis megszólalnak a fegyverek?",politics
8298,"Német oldalon a tíz éve az NBA-ben edződő és a 2021 óta az Orlando Magicet erősítő 14-14 pontnál tartott, míg a szerbeknél (Atlanta Hawks) 15-tel vitte a prímet.",other
6409,"Hat nappal ezelőtt, július 13-án késő este egy 27 éves nőt holtan találtak a rendőrök XIII.
6410	Hat perc gólcsend után büntetőből volt eredményes a fővárosi együttes, majd Garbin tette kerekké a különbséget (43-23), húsz lett közte a félidőre is (47-27).
6411	Hát, remélem jobb lesz mint a Christian Clavier-es 6 részes Napóleon tv sorozat.
6412	Hat százalék alá eshet az infláció év végére az MNB igazgatója szerintA jegybank a háztartási fogyasztás idei 3 százalékos csökkenése után jövőre már 2,8-3,5 százalékos bővüléssel számol.
6413	Ha tudunk rá pénzt szerezni, újítsuk meg, de nem kell mindenáron ezt tennünk.
6414	Ha túl rázósnak ítéljük a szituációt - semmi gond -, bármikor megállíthatjuk az időt, és kényelmesen kiadhatjuk a parancsokat a tengerészgyalogosainknak.
6415	Hátul továbbra is remekül dolgoztak a csapatok, de a góltermés sivár volt.
6416	Ha ugyanis meleg az idő, a vízcseppek elpárolognak, mielőtt elérnék a növény gyökereit.
6417	Ha ugyanolyan erőfeszítésem és elkötelezettségem lenne, jobb lennék nála.
6418	Ha ügyes vagy, akkor megvásárolhatod az olcsóbb szövegíróktól az anyagokat, átírod, kijavítod a hibákat és eladhatod drágábban.
6419	Ha utazhatnék az időben, megnézném a XIX.
6420	Ha valahol kockázatot látunk, azonnal kezeljük.
6421	Ha valaki egyszerűbbel is beéri, akkor 25 ezer környékén is meg tud szállni.
6422	Ha valaki korábban tíz tojást vett, az most kilenc, ha kilós kenyeret vett, az most 900 gramm.
6423	Ha valakinek tudomása van arról, hogy valakit erőszakkal, zsarolással, bántalmazással vagy fenyegetéssel félelemben tartanak, kizsákmányolnak, vagy engedelmességre kényszerítenek, akkor tegyen bejelentést a rendőrségen.
6424	Ha valaki Párizsba megy, provokációba ütközhet.
6425	Ha valóban nagyjából ez a forgatókönyv következik be, akkor bizony a jelenlegi, 12-16 százalékos kamatok és hozamok mellett eléggé megéri állampapírokba fektetni a következő egy évre.
6426	Ha Varga Zoltánnak lenne önbecsülése, már régen befejezte volna politikai pályafutását, ugyanis bizalmat soha nem kapott a debreceniektől.
6427	Havasi Bertalan a hírportállal azt is közölte: Orbán Viktor részt vesz a jövő csütörtök-pénteki brüsszeli EU-csúcson.
6428	Havasi Bertalan, a miniszterelnök sajtófőnöke arról tájékoztatott, hogy a megbeszélésen a magyar-osztrák kapcsolatokról, az orosz-ukrán háborúban a béke megteremtésének lehetőségeiről esett szó.
6429	Ha végignézzük a határait, akkor túl sok barátságos országot, Oroszország és Észak-Korea kivételével nem találunk.
6430	Ha végigtekintünk a magyar nemzet történelmén, akkor látjuk, hogy a mi esetünkben a kereszténység és a magyarság mindig kéz a kézben járt egymással.",politics
4297,"Azt is megjósolja, hogy Sussex hercegnőjének ""szívfájdalma lesz"", de ""nem Harry herceggel "", miközben gazdasági hanyatlást és sok női híresség sikerét jósolja.",other
3284,"A World Tour és a Fighting Ground tehát rengeteg egyjátékos tartalmat ígérnek, akad azonban egy harmadik nagy menüpont is: a Battle Hub.",other
2675,"A szakértők, akiket a TASR helyi hírügynökség idézett, úgy vélték, hogy a két kocogó megzavarhatta a medvét, amely ezért támadhatott rájuk.",other
7936,"Mint kiderült, rövidül az alapképzésre épülő szakmai alapképzés ideje is.",other
5117,"Egy nagyobb alapot már kiöntöttek, a többi részen javában dolgoznak.",other
2789,A színház adott otthont az America's Got Talent forgatásának is!,other
7340,Lépni kell és felvenni a harcot.,other
2069,"A műszaki mentés idejére az utat lezárták, kerülni Magyarbánhegyes felé lehet.",trafic
4794,"Debrecenben, Szegeden, Pécsen, Miskolcon és Kecskeméten például a szigetelt házaknál 483-99 ezer forint, a lakások 478-876 ezer forint az átlagos négyzetméterár, ez várostól függően 6-60 százalékos többletet jelent.",economy
9030,Sok pénz hiányzik idén a nyugdíjasok pénztárcájából.,economy
8944,"Sajnos nem Guszti az egyetlen, akinek meg kellett küzdenie a démonaival, a Bors összegyűjtötte azokat sztárokat, akik már mind megjárták a poklok poklát, de újra tudták kezdeni az életet.",other
8961,Sebastian Vettel a napokban nosztalgikus képet posztolt az Instagram oldalán Michael Schumacherről.,other
8742,"Persze lehet, hogy több mint 2 év alatt sokat fejődött, a személyisége is változott, és a közös zsűrizés csak megerősíti kettejük szerelmét.",other
7429,"Május óta a Fidesz tábora valamelyest kisebb lett, tavasszal a választókorúak 32 százaléka támogatta, most 30 százalékon áll.",politics
18,A 18 éves versenyző temetése a hollandiai Ridderkerk szélén található Reyerparcban lesz.,other
8316,"Nem gondolom, hogy extrém súlyosságot kell ennek tulajdonítani, de nálunk választási kampány van, ezért tízszer annyira rezonál minden, mint ha tavaly mondták volna.",politics
3479,"Az EBA és az UniCredit Bank összefogásának célja többek között a fenntarthatóság, az innováció, a digitalizáció ösztönzése.",economy
2672,"A szakember szerint leegyszerűsítve úgy képzeljük ezt el, hogy az autó, amelyik belerohant az előtte lévőbe, és az orrát összetörte, vétkes, az ő kgfb-je terhére kell megtéríteni az előtt lévő autóban keletkezett kárt.",trafic
6077,"Fiatalként nem igazán vagyok helyhez kötve, így azt is el tudom képzelni, hogy az egyetem után külföldön helyezkedem el. Összességében igyekszek élni az elém táruló lehetőségekkel.",other
9018,"Sok diplomás örült, amikor a városban leesett a hó.",other
5377,"Emil Delibashev ezután részletezte a sok magyart is érdeklő Budapest-London légi kapcsolat alakulását: örvendetes, hogy a magyar és a brit főváros között napi öt járat indul.",trafic
8547,"Olyan jó munka folyt, hogy 1913-ban a vizsgáztatóbizottság a lelkészt az egyházi főhatóság elismerésére és jutalmazására ajánlotta.",other
6894,"Jönnek az új gendersemleges uniós bérkritériumok: nyilvános lesz mindenki fizetéseAz EP új szabályokat fogadott el a nemi szempontból semleges kritériumokon alapuló bértáblákról, hogy a bérek könnyebben összemérhetőek legyenek a teljesítmény alapján.",politics
6171,"Girincs tipikus borsodi kistelepülés, amelynek lakossága jómódúnak nem mondható.",other
5485,"Érdekesség, hogy a júniusban kinevezett szakember több olyan játékosnak lesz a vezetőedzője, aki nemrég még a csapattársa volt – például Faragó Lajos, Siska Gergő, Harmati Tamás – más kluboknál.",sport
1200,"Aki az egyetemen Mandelhoz került, így válhatott nem egyszerűen egy szakmai közösség, hanem egy nagy család részévé.",other
1419,A közgyűlés döntését követően a tulajdonátruházási szerződések a nyár folyamán megköthetők” – reagálta megkeresésünkre Miskolc Polgármesteri Hivatalának Sajtó és Kommunikációs Osztálya.,politics
4018,"Az M2 chip képes ebben a ventilátor nélküli gépben is működni, amely alig vastagabb, mint egy tablet, de valójában ugyanannyi CPU-teljesítménnyel dolgozik, mint a késői generációs Intel MacBook Pro modellek.",technology
2905,"A társaság a takarékoskodás révén nagyságrendileg hárommilliárd forintot spórolt meg, és ennek is köszönhető, hogy idén el tudják indítani a feldíszített villamosokat és buszokat.",economy
3608,Az elkészült kiállítás 120 paneljéből végül csupán 10 (!) utalt a zsidó áldozatokra.,other
6375,"Háromszor utasítottam el, ám Barbara nem tágított, mivel kifejezetten rám írta az epizódszerepet.",other
5740,"Ezekben az utcákban jó élni és jó üzletet, vagy éttermet nyitni, vezetni is, miközben a látogatók számára próbálnak megadni minden olyan élményt és szolgáltatást, ami miatt a városba érkeztek.",other
7097,Kimondottan külföldre közvetítenek munkavállalókat – tudtuk meg Fábián Anita irodavezetőtől.,economy
1699,"A magyar irodalmi életben kevésbé domináns ez a fajta írói stílus, de én nagyon szeretem.",other
5444,"Ennek megelőzése, illetve csökkentése érdekében érdemes fehérjében gazdag élelmiszerekkel színesíteni az étrendet és erősítő, súlyzós vagy rezisztenciaedzéseket beiktatni legalább heti 2-3 alkalommal.",other
4862,De tizenegy év után új impulzusokra vágytam.,other
2826,"A szövetségi kabinet javaslata nyomán Karl Lauterbach egészségügyi miniszter “drogpolitikai fordulópontról”, részleges legalizálásról beszélt.",politics
834,A hatóságok várhatóan az eddiginél jobban ügyelnek a formai kritériumokra a pályázatok esetében.,politics
7291,Legkevesebb három ember meghalt és százak szorulnak kórházi ápolásra a dél-iráni Szisztán-Beludzsisztán tartományon végigsöprő porviharok miatt – jelentette pénteken az IRNA hivatalos iráni hírügynökség hatósági közléseket ismertetve.,other
1486,"A különleges beléptetés után, a meccs 10. percében a drukkerek levették a cipőiket, a magasba emelték, így tiltakoztak, hívták fel a figyelmet a szokatlan eljárásra.",sport
6206,"Gyakran beszélek arról, mert ez szerintem egy fontos szempont, hogy Ukrajnát a 40 évesek korosztálya irányítja, a kormány tagjai többnyire negyvenvalahány évesek.",politics
